Source,SpecimenID,Location,Day,Month,Year,A or B egg,Length (mm),Breadth (mm),Volume,Reference
Ditsong,,Nightingale,,9,1945,U,31.0,26.5,11.0,Roberts 1948
Ditsong,,Nightingale,,9,1945,U,39.0,32.0,20.2,Roberts 1948
Ditsong,,Nightingale,,9,1945,U,40.0,36.0,26.3,Roberts 1948
Ditsong,,Nightingale,,9,1945,U,50.2,38.0,36.8,Roberts 1948
Ditsong,,Nightingale,,9,1945,U,58.0,45.3,60.3,Roberts 1948
Ditsong,,Nightingale,,9,1945,U,71.5,53.0,101.8,Roberts 1948
Ditsong,,Nightingale,,9,1945,U,70.5,54.5,106.2,Roberts 1948
Ditsong,,Nightingale,,9,1945,U,72.0,53.0,102.5,Roberts 1948
Durban,34465,Tristan,8,9,1950,A,65.9,48.5,78.6,
Durban,34466,Tristan,15,11,1950,A,66.9,53.0,95.3,
Durban,34465,Tristan,8,9,1950,B,61.0,43.3,58.0,
Durban,34466,Tristan,15,11,1950,B,65.6,53.7,95.9,
Durban,34465,Tristan,8,9,1950,A,58.7,44.8,59.7,
Durban,34466,Tristan,15,11,1950,A,59.0,49.5,73.3,
Naturalis,RMNH 185838,Tristan,16,9,1924,A,59.5,47.2,67.1,measured by Pepijn Kamminga
Naturalis,RMNH 185838,Tristan,16,9,1924,B,61.8,49.8,77.8,measured by Pepijn Kamminga
NHMUK,1880.12.3.210-215 / 9,Inaccessible,16,10,1873,U,61.3,48.0,71.6,
NHMUK,1880.12.3.210-215 / 11,Inaccessible,16,10,1873,U,60.5,49.8,76.1,
NHMUK,1880.12.3.210-215 / 10,Inaccessible,16,10,1873,U,62.5,49.2,76.7,
NHMUK,1880.12.3.210-215 / 13,Inaccessible,16,10,1873,U,63.8,47.6,73.3,
NHMUK,1880.12.3.210-215 / 12,Inaccessible,16,10,1873,U,64.6,49.5,80.3,
NHMUK,1880.12.3.210-215 / 8,Inaccessible,16,10,1873,U,64.8,50.6,84.1,
NHMUK,1979.14.2,Tristan,,,1919,U,64.3,50.2,82.2,
NHMUK,1922.12.21.16,Tristan,,,1921,U,69.4,55.3,107.6,
NHMUK,1927.10.20 / 5,Inaccessible,,,1922,U,57.1,45.7,60.5,
NHMUK,1927.10.20 / 6,Inaccessible,,,1922,U,57.3,46.7,63.4,
NHMUK,1927.10.20 / 4,Inaccessible,,,1922,U,73.1,55.6,114.6,
NHMUK,1952.7.815,Nightingale,,,1936,U,71.5,52.6,100.3,
NHMUK,1953.4.2 / 67,Nightingale,14,9,1950,U,48.0,35.8,31.2,
NHMUK,1953.4.5 / 16,Nightingale,20,9,1950,U,60.3,47.5,69.0,
NHMUK,1953.4.5 / 14,Nightingale,20,9,1950,U,71.0,55.8,112.1,
NHMUK,1953.4.5 / 13,Nightingale,20,9,1950,U,72.3,55.4,112.5,
NHMUK,1953.4.3 / 54,Nightingale,16,9,1951,U,37.0,29.1,15.9,
NHMUK,1953.4.4 / 135,Nightingale,18,9,1951,U,35.2,33.5,20.0,
NHMUK,1953.4.3 / 62,Nightingale,16,9,1951,U,41.0,34.0,24.0,
NHMUK,1953.4.3 / 86,Nightingale,16,9,1951,U,46.4,36.5,31.3,
NHMUK,1953.4.4 / 134,Nightingale,18,9,1951,U,46.5,39.5,36.8,
NHMUK,1953.4.1 / 142,Nightingale,21,9,1951,U,57.6,46.0,61.8,
NHMUK,1953.4.6 / 138,Nightingale,18,9,1951,U,57.4,46.8,63.7,
NHMUK,1953.4.1 / 155,Nightingale,21,9,1951,U,60.5,47.3,68.6,
