Year,Month,Tristan,Tristan_Residual,Gough,Gough_Residual
1854,1,16.790001,0.14274597,14.71,0.25005817
1854,2,17.129999,-0.34799004,14.87,-0.31201839
1854,3,17.309999,-0.10645866,15.03,-0.09811306
1854,4,16.309999,-0.2295742,13.98,-0.40920353
1854,5,14.6,-0.57829475,12.7,-0.57677078
1854,6,13.4,-0.63304901,11.76,-0.57713413
1854,7,12.68,-0.56293011,11.05,-0.5526228
1854,8,12.51,-0.24018288,10.93,-0.19756126
1854,9,12.47,-0.10073376,10.91,-0.044512749
1854,10,12.34,-0.65182877,10.56,-0.7412796
1854,11,13.47,-0.49597931,11.45,-0.71487713
1854,12,15.07,-0.3374424,12.86,-0.53762054
1855,1,16.25,-0.39725494,14.04,-0.4199419
1855,2,16.690001,-0.78798866,14.43,-0.75201797
1855,3,16.700001,-0.71645737,14.19,-0.93811321
1855,4,16.129999,-0.40957451,13.79,-0.59920311
1855,5,14.77,-0.40829468,12.67,-0.60677052
1855,6,13.87,-0.16304874,12.18,-0.15713406
1855,7,12.81,-0.43292999,11.13,-0.47262287
1855,8,12.26,-0.49018288,10.66,-0.46756172
1855,9,11.98,-0.59073448,10.33,-0.62451267
1855,10,12.58,-0.41182899,10.93,-0.37127972
1855,11,13.84,-0.12597942,11.95,-0.21487713
1855,12,15.51,0.10255814,13.39,-0.007619858
1856,1,16.75,0.10274506,14.44,-0.019942284
1856,2,17.799999,0.32201004,15.29,0.10798168
1856,3,18.16,0.74354172,15.57,0.4418869
1856,4,17.120001,0.58042717,14.89,0.50079727
1856,5,15.71,0.5317049,13.89,0.61322975
1856,6,14.28,0.2469511,12.57,0.23286533
1856,7,13.76,0.51706982,11.98,0.37737656
1856,8,13.7,0.9498167,11.9,0.77243805
1856,9,13.12,0.54926586,11.34,0.38548756
1856,10,13.6,0.60817146,11.81,0.5087204
1856,11,14.34,0.37402058,12.45,0.28512287
1856,12,15.6,0.19255829,13.79,0.39237976
1857,1,17.09,0.44274521,14.95,0.49005795
1857,2,17.790001,0.31201172,15.8,0.61798191
1857,3,17.799999,0.38354111,15.71,0.58188725
1857,4,16.77,0.23042679,14.58,0.19079685
1857,5,15.25,0.071704865,13.19,-0.086771011
1857,6,13.72,-0.31304836,11.96,-0.37713432
1857,7,12.94,-0.30293083,11.23,-0.37262344
1857,8,12.86,0.10981655,11.27,0.14243889
1857,9,12.68,0.10926628,11.13,0.17548752
1857,10,12.97,-0.021828651,11.32,0.018719673
1857,11,14.2,0.23402023,12.35,0.18512344
1857,12,15.76,0.35255814,13.53,0.13237953
1858,1,17.559999,0.91274452,15,0.54005814
1858,2,17.799999,0.32201004,15.23,0.047981262
1858,3,17.76,0.3435421,15.27,0.14188766
1858,4,17.02,0.48042679,14.77,0.38079739
1858,5,15.57,0.39170456,13.7,0.42322922
1858,6,14.02,-0.013048172,12.62,0.28286552
1858,7,13.37,0.12706947,11.95,0.34737682
1858,8,13.1,0.34981728,11.55,0.42243862
1858,9,12.84,0.26926613,11.32,0.3654871
1858,10,12.21,-0.78182888,10.57,-0.73128033
1858,11,13.26,-0.70597935,11.51,-0.65487671
1858,12,15.34,-0.06744194,13.46,0.062379837
1859,1,16.85,0.20274544,14.57,0.11005783
1859,2,17.540001,0.062011719,15.16,-0.022018433
1859,3,17.57,0.15354156,15.42,0.29188728
1859,4,16.530001,-0.009572983,14.39,0.000797272
1859,5,15.42,0.24170494,13.64,0.36322975
1859,6,14.26,0.2269516,12.6,0.26286602
1859,7,12.7,-0.5429306,11.03,-0.57262325
1859,8,12.72,-0.030182838,10.93,-0.19756126
1859,9,13.11,0.53926563,11.54,0.58548737
1859,10,13.42,0.42817116,11.76,0.45872021
1859,11,14.1,0.13402081,12.37,0.20512295
1859,12,15.66,0.25255775,13.7,0.30237961
1860,1,17.190001,0.54274559,15.03,0.57005787
1860,2,18.219999,0.74201012,15.81,0.62798214
1860,3,17.879999,0.46354103,15.43,0.30188751
1860,4,16.74,0.2004261,14.62,0.23079681
1860,5,15.68,0.50170517,13.7,0.42322922
1860,6,14,-0.03304863,12.47,0.13286591
1860,7,13.16,-0.082930565,11.56,-0.042622566
1860,8,12.85,0.099817276,11.23,0.10243797
1860,9,12.67,0.099266052,11.15,0.19548702
1860,10,12.6,-0.39182854,11.02,-0.28127956
1860,11,14.09,0.12402058,12.24,0.075122833
1860,12,16.4,0.99255753,14.44,1.0423794
1861,1,17.549999,0.90274429,15.44,0.98005772
1861,2,17.360001,-0.11798859,15.37,0.18798161
1861,3,17.059999,-0.35645866,14.9,-0.22811317
1861,4,16.16,-0.37957382,13.86,-0.52920341
1861,5,15.12,-0.05829525,13.18,-0.096770287
1861,6,13.76,-0.2730484,12.14,-0.19713402
1861,7,12.89,-0.35293007,11.35,-0.2526226
1861,8,12.49,-0.26018333,10.83,-0.29756165
1861,9,12.3,-0.27073383,10.83,-0.12451267
1861,10,13.13,0.1381712,11.52,0.21872044
1861,11,14.08,0.11402035,12.58,0.41512299
1861,12,15.88,0.47255802,14.09,0.69237995
1862,1,16.719999,0.07274437,14.74,0.28005791
1862,2,17.049999,-0.42798996,15.05,-0.13201809
1862,3,16.84,-0.57645798,15,-0.12811279
