Row Labels,Average of DX70,Average of EMXT,Average of DT32,Max of PRCP
"GOUGH ISLAND, SH",,,,
1976,17,76,0,117.2
1977,8,74,0,113.23
1978,14,75,0,135.71
1979,7,72,1,129.61
1980,24,76,0,128.03
1981,31,77,0,100.91
1982,19,74,1,146.26
1983,14,75,0,140.24
1984,9,76,0,125.24
1985,8,75,0,140.83
1986,14,74,0,134.13
1987,14,79,0,143.58
1990,9,79,2,102.28
1992,9,74,1,126.54
1993,13,76,0,122.32
1995,4,73,0,132.52
1996,7,75,0,118.98
1997,17,75,0,139.61
1998,17,80,0,119.88
1999,24,80,0,100.94
"GOUGH ISLAND, SH Total",13.95,75.75,0.25,146.26
"ST. HELENA IS., SH",,,,
1977,142,78,0,
1978,127,79,0,
1979,142,78,0,
1980,143,78,0,
1981,134,79,0,
1982,117,77,0,
1983,154,77,0,
1984,179,78,0,
1986,170,79,0,
1987,190,79,0,
1988,182,79,0,
1989,164,81,0,
"ST. HELENA IS., SH Total",153.6666667,78.5,0,
"WIDE AWAKE FIELD A, SH",,,,
1991,365,88,0,
1992,366,87,0,
1993,365,88,0,
1994,365,89,0,6.81
1995,365,88,0,13.82
1996,366,90,0,8.39
1997,365,87,0,4.8
1998,365,89,0,3.62
1999,363,88,0,5.35
2000,366,88,0,7.52
2001,,,,5.75
"WIDE AWAKE FIELD A, SH Total",365.1,88.2,0,13.82
Grand Total,137.4761905,79.5,0.119047619,146.26
